timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/24 06:52:01.130, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.47 W
2026/09/24 06:52:01.330, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.47 W
2026/09/24 06:52:01.530, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.47 W
2026/09/24 06:52:01.731, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.47 W
2026/09/24 06:52:01.931, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.63 W
2026/09/24 06:52:02.131, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.63 W
2026/09/24 06:52:02.331, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.63 W
2026/09/24 06:52:02.532, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.63 W
2026/09/24 06:52:02.732, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.63 W
2026/09/24 06:52:02.932, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.61 W
2026/09/24 06:52:03.132, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.61 W
2026/09/24 06:52:03.333, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.61 W
2026/09/24 06:52:03.533, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.61 W
2026/09/24 06:52:03.733, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.61 W
2026/09/24 06:52:03.934, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.60 W
2026/09/24 06:52:04.134, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.60 W
2026/09/24 06:52:04.334, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.60 W
2026/09/24 06:52:04.534, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.60 W
2026/09/24 06:52:04.735, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.60 W
2026/09/24 06:52:04.935, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.42 W
2026/09/24 06:52:05.135, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.42 W
2026/09/24 06:52:05.335, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.42 W
2026/09/24 06:52:05.536, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.42 W
2026/09/24 06:52:05.736, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.42 W
